Suffix ्यातील not at position 4, 10, of wordform अगर्‍यातील, af: ['अगरा', 'n', '', '', '', '', '्यातील', '्यातील']
Suffix 3 not at position 4, 5, of wordform वाढतो, af: ['h', 'ak', 'pre', 'वाढ', 'v', 'm', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाढतो, af: ['pre', 'ak', 'h', 'वाढ', 'v', 'm', 'sg', '3']
Suffix 3 not at position 6, 7, of wordform वाढत्या, af: ['ak', 'p', 'pas', 'वाढ', 'v', 'f', 'pl', '3']
Suffix pl not at position 5, 7, of wordform वाढत्या, af: ['p', 'ak', 'c', 'pas', 'वाढ', 'v', 'f', 'pl']
Suffix pl not at position 5, 7, of wordform वाढत्या, af: ['p', 'c', 'ak', 'pas', 'वाढ', 'v', 'n', 'pl']
Suffix 3 not at position 6, 7, of wordform वाढत्या, af: ['p', 'pas', 'c', 'वाढ', 'v', 'f', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform वाढली, af: ['p', 'ak', 'pas', 'वाढ', 'v', 'f', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाढली, af: ['p', 'ak', 'pas', 'वाढ', 'v', 'f', 'sg', '3']
Suffix 3 not at position 4, 5, of wordform वाढले, af: ['p', 'ak', 'pas', 'वाढ', 'v', 'n', 'sg', '3']
Suffix 3 not at position 6, 7, of wordform वाढवतात, af: ['h', 'ak', 'pre', 'वाढव', 'v', 'm', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform वाढवतो, af: ['h', 'pre', 'ak', 'वाढव', 'v', 'm', 'sg', '3']
Suffix 3 not at position 6, 7, of wordform वाढविले, af: ['p', 'ak', 'pas', 'वाढव', 'v', 'm', 'pl', '3']
Suffix 3 not at position 6, 7, of wordform वाढविले, af: ['pas', 'ak', 'p', 'वाढव', 'v', 'n', 'sg', '3']
Suffix d not at position 5, 6, of wordform वापरणे, af: ['n_kr', 'kr', 'वापर', 'v', 'n', 'sg', '', 'd']
Suffix 3 not at position 6, 7, of wordform वापरतात, af: ['h', 'ak', 'pre', 'वापर', 'v', 'm', 'pl', '3']
Suffix 3 not at position 6, 7, of wordform वापरतात, af: ['h', 'pre', 'ak', 'वापर', 'v', 'f', 'pl', '3']
Suffix 3 not at position 6, 7, of wordform वापरतात, af: ['h', 'pre', 'ak', 'वापर', 'v', 'm', 'pl', '3']
Suffix 3 not at position 6, 7, of wordform वापरतात, af: ['pre', 'ak', 'h', 'वापर', 'v', 'm', 'pl', '3']
Suffix 3 not at position 6, 7, of wordform वापरतात, af: ['h', 'ak', 'pre', 'वापर', 'v', 'm', 'pl', '3']
Suffix 3 not at position 5, 6, of wordform वापरली, af: ['pas', 'ak', 'p', 'वापर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform वापरली, af: ['pas', 'ak', 'p', 'वापर', 'v', 'f', 'sg', '3']
Suffix 3 not at position 5, 6, of wordform वापरले, af: ['p', 'ak', 'pas', 'वापर', 'v', 'n', 'sg', '3']
Suffix ु not at position 3, 4, of wordform वासरं, af: ['वासरु', 'n', 'm', 'pl', '', 'o', 'ं', 'ु_ं']
Suffix 3 not at position 4, 5, of wordform विकले, af: ['p', 'ak', 'pas', 'विक', 'v', 'n', 'sg', '3']
Suffix o not at position 10, 11, of wordform विखुरण्याची, af: ['n_kr', 'kr', 'विखुर', 'v', 'n', 'sg', '', 'o']
Suffix d not at position 8, 9, of wordform विखुरलेला, af: ['l_kr', 'kr', 'विखुर', 'v', 'm', 'sg', '', 'd']
Suffix pas not at position 4, 7, of wordform विचारले, af: ['विचार', 'v', 'n', 'sg', '', 'o', 'ले', 'pas']
Suffix यांचे not at position 8, 13, of wordform विद्यार्थांचे, af: ['विद्यार्थी', 'n', 'm', 'pl', '3', '', 'यांचे', 'यांचे']
Suffix वरुन not at position 8, 12, of wordform विमानतळावरून, af: ['विमानतळ', 'n', 'n', 'sg', '', 'd', '', 'वरुन']
Suffix d not at position 10, 11, of wordform विस्तारलेला, af: ['l_kr', 'kr', 'विस्तार', 'v', 'm', 'sg', '', 'd']
Suffix चा not at position 5, 7, of wordform वेगळ्या, af: ['वेगळ्याप्रकार', 'adj', '', '', '', '', 'चा', 'चा']
Suffix 3 not at position 7, 8, of wordform व्यापतात, af: ['h', 'pre', 'ak', 'व्याप', 'v', 'm', 'pl', '3']
Suffix 3 not at position 6, 7, of wordform व्यापते, af: ['h', 'ak', 'pre', 'व्याप', 'v', 'f', 'sg', '3']
Suffix ा not at position 9, 10, of wordform व्यासपीठा'तर्फे, af: ['व्यासपीठ', 'n', 'n', 'sg', '', 'o', 'तर्फे', 'ा_तर्फे']
Suffix 2 not at position 3, 4, of wordform शकता, af: ['h', 'ak', 'pre', 'शक', 'v', 'm', 'pl', '2']
Suffix 3 not at position 4, 5, of wordform शकतात, af: ['h', 'ak', 'pre', 'शक', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform शकतात, af: ['h', 'ak', 'pre', 'शक', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform शकतात, af: ['h', 'pre', 'ak', 'शक', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform शकते, af: ['h', 'ak', 'pre', 'शक', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform शकते, af: ['h', 'ak', 'pre', 'शक', 'v', 'n', 'sg', '3']
Suffix 1 not at position 3, 4, of wordform शकतो, af: ['h', 'ak', 'pre', 'शक', 'v', 'm', 'pl', '1']
Suffix 3 not at position 3, 4, of wordform शकतो, af: ['h', 'ak', 'pre', 'शक', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform शकतो, af: ['h', 'pre', 'ak', 'शक', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform शकतो, af: ['h', 'pre', 'ak', 'शक', 'v', 'm', 'sg', '3']
Suffix pre not at position 4, 7, of wordform शक्‍यतो, af: ['शक', 'v', 'm', 'sg', '3', 'o', 'यतो', 'pre']
Suffix tn not at position 7, 9, of wordform शिकणाऱ्या, af: ['शिक', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix 3 not at position 4, 5, of wordform शिकले, af: ['p', 'pas', 'ak', 'शिक', 'v', 'm', 'pl', '3']
Suffix ले not at position 3, 5, of wordform शिकवल, af: ['शिकव', 'v', 'n', 'sg', '3', '', 'ल', 'ले']
Suffix च not at position 8, 9, of wordform शॅम्पेनची, af: ['शॅम्पेन', 'n', 'f', 'sg', '', 'd', '', 'च']
Suffix ना not at position 2, 4, of wordform शेते, af: ['शेत', 'n', 'n', 'pl', '', 'o', 'ना', 'ां_ना']
Suffix ां not at position 2, 4, of wordform शेते, af: ['शेत', 'n', 'n', 'pl', '', 'o', 'ना', 'ां_ना']
Suffix 3 not at position 4, 5, of wordform शोधले, af: ['p', 'pas', 'ak', 'शोध', 'v', 'n', 'sg', '3']
Suffix मध्ये not at position 4, 9, of wordform संक्रांती, af: ['संक्रांती', 'n', 'f', 'sg', '', 'd', '', 'मध्ये']
Suffix च्या not at position 2, 6, of wordform सगळ्या, af: ['सगळा', 'adj', 'n', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix ां not at position 4, 6, of wordform सगळ्या, af: ['सगळा', 'adj', 'n', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix च्या not at position 11, 15, of wordform सभासदांच्यापैकी, af: ['सभासद', 'n', 'm', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix ां not at position 13, 15, of wordform सभासदांच्यापैकी, af: ['सभासद', 'n', 'm', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix च्या not at position 7, 11, of wordform सभासदांपैकी, af: ['सभासद', 'n', 'm', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix ां not at position 9, 11, of wordform सभासदांपैकी, af: ['सभासद', 'n', 'm', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix 3 not at position 4, 5, of wordform समजली, af: ['p', 'pas', 'ak', 'समज', 'v', 'f', 'sg', '3']
Suffix ा not at position 9, 10, of wordform समुद्राकाठच्या, af: ['समुद्राकाठच्या', 'n', 'm', 'sg', '', 'o', 'च्या', 'ा__च्या']
Suffix च्या not at position 0, 4, of wordform सर्व, af: ['सर्व', 'pn', '', '', '', '', 'च्या', 'च्या']
Suffix 3 not at position 5, 6, of wordform सांगतं, af: ['p', 'pas', 'c', 'सांग', 'v', 'n', 'sg', '3']
Suffix d not at position 9, 10, of wordform सांगितलेला, af: ['l_kr', 'kr', 'सांग', 'v', 'm', 'sg', '', 'd']
Suffix pas not at position 2, 5, of wordform साचलय, af: ['साच', 'v', 'n', 'sg', '3', 'o', 'य', 'pas']
Suffix o not at position 9, 10, of wordform साठवण्याचा, af: ['n_kr', 'kr', 'साठव', 'v', 'n', 'sg', '', 'o']
Suffix d not at position 7, 8, of wordform साठवलेला, af: ['l_kr', 'kr', 'साठव', 'v', 'm', 'sg', '', 'd']
Suffix ्-या not at position 2, 6, of wordform साड्या, af: ['साडी', 'n', 'f', 'pl', '', 'o', 'या', '्-या']
Suffix ां not at position 11, 13, of wordform सिद्धिविनायकाच्या, af: ['सिद्धिविनायक', 'n', 'm', 'sg', '', '', 'च्या', 'ां_च्या']
Suffix ां not at position 9, 11, of wordform सीडब्ल्युआरनी, af: ['सीडब्ल्युआर', 'n', 'n', 'pl', '', 'o', 'नी', 'ां_नी']
Suffix d not at position 6, 7, of wordform सुकलेला, af: ['l_kr', 'kr', 'सुक', 'v', 'm', 'sg', '', 'd']
Suffix या not at position 7, 9, of wordform सुक्यामेव्यापेक्षा, af: ['सुक्यामेव्यापेक्षा', 'n', 'm', 'sg', '', 'o', 'पेक्षा', '्_या__्_यापेक्षा']
Suffix ् not at position 8, 9, of wordform सुक्यामेव्यापेक्षा, af: ['सुक्यामेव्यापेक्षा', 'n', 'm', 'sg', '', 'o', 'पेक्षा', '्_या__्_यापेक्षा']
Suffix 3 not at position 6, 7, of wordform सुचविले, af: ['p', 'ak', 'pas', 'सुचव', 'v', 'n', 'sg', '3']
Suffix ं not at position 7, 8, of wordform सुट्ट्या, af: ['सुट्टी', 'n', 'f', 'pl', '', 'd', 'ं', '्या_ं']
Suffix ना not at position 6, 8, of wordform सुट्ट्या, af: ['सुट्टी', 'n', 'f', 'pl', '', 'd', 'ना', '्या_ं_ना']
Suffix ं not at position 7, 8, of wordform सुट्ट्या, af: ['सुट्टी', 'n', 'f', 'pl', '', 'd', 'ना', '्या_ं_ना']
Suffix ला not at position 3, 5, of wordform सुधास, af: ['सुधा', 'n', 'f', 'sg', '', 'o', 'ला', 'ला']
Suffix pas not at position 4, 7, of wordform सुनावले, af: ['सुनाव', 'v', 'n', 'sg', '3', 'o', 'ले', 'pas']
Suffix tn not at position 7, 9, of wordform सोडणाऱ्या, af: ['सोड', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix यच्या not at position 1, 6, of wordform स्तरीय, af: ['स्तर', 'n', '', 'sg', '', 'o', 'यच्या', 'ी_यच्या']
Suffix ी not at position 5, 6, of wordform स्तरीय, af: ['स्तर', 'n', '', 'sg', '', 'o', 'यच्या', 'ी_यच्या']
Suffix ां not at position 6, 8, of wordform स्त्रिया, af: ['स्त्री', 'n', 'f', 'pl', '', 'o', 'य_ां', 'य_ां']
Suffix य not at position 7, 8, of wordform स्त्रिया, af: ['स्त्री', 'n', 'f', 'pl', '', 'o', 'य_ां', 'य_ां']
Suffix d not at position 9, 10, of wordform स्थापिलेले, af: ['p', 'pas', 'स्थाप', 'v', 'm', 'pl', '3', 'd']
Suffix o not at position 6, 7, of wordform स्रवतात, af: ['ak', 'pre', 'स्रव', 'v', 'm', 'pl', '3', 'o']
Suffix kr not at position 11, 13, of wordform स्वीकारणाऱ्या, af: ['स्वीकार', 'v', '', '', '', 'o', 'ा_ऱ्या', 'kr']
Suffix ों not at position 3, 5, of wordform हजारो, af: ['हजार', 'num', '', '', '', '', '', 'ों']
Suffix ोंच्या not at position 3, 9, of wordform हजारोच्या, af: ['हजार', 'num', '', '', '', '', '', 'ोंच्या']
Suffix च्या not at position 13, 17, of wordform हत्यारांच्याशिवाय, af: ['हत्यार', 'n', 'n', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix ां not at position 15, 17, of wordform हत्यारांच्याशिवाय, af: ['हत्यार', 'n', 'n', 'pl', '', 'o', 'च्या', 'ां_च्या']
Suffix o not at position 7, 8, of wordform हसण्याने, af: ['kr', 'n_kr', 'हस', 'v', 'n', 'sg', '', 'o']
Suffix ुंचे not at position 4, 8, of wordform हिंदूंचे, af: ['हिंदु', 'n', 'n', 'pl', '', 'o', 'ुंचे', 'ुंचे']
Suffix च्या not at position 5, 9, of wordform हिमालयाचे, af: ['हिमालय', 'n', 'm', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix ा not at position 8, 9, of wordform हिमालयाचे, af: ['हिमालय', 'n', 'm', 'sg', '', 'o', 'च्या', 'ा_च्या']
Suffix न not at position 6, 7, of wordform हिल्टन'मध्ये, af: ['हिल्टन', 'n', '', '', '', '', 'मध्ये', 'न_मध्ये']
Suffix च्रा not at position 7, 11, of wordform हुसैनाबादचा, af: ['हुसैनाबाद', 'n', '', '', '', '', 'च्रा', 'च्रा']
Suffix ्या not at position 3, 6, of wordform हेतूने, af: ['हा', 'pn', 'm', 'sg', '', 'o', '्या', '्या']
Suffix न not at position 5, 6, of wordform हेतूने, af: ['हेतू', 'n', 'm', 'sg', '', 'o', '', 'न']
Suffix े not at position 8, 9, of wordform हे.पर्यंत, af: ['हा', 'pn', 'm', 'pl', '', 'd', '', 'े']
Suffix च्या not at position 3, 7, of wordform हॉटेलांशिवाय, af: ['हॉटेल', 'n', 'n', 'pl', '', 'o', 'शिवाय', 'ां_च्या_शिवाय']
Suffix tn not at position 6, 8, of wordform होणाऱ्या, af: ['हो', 'v', '', '', '', 'o', 'णाऱ्या', 'tn']
Suffix tn not at position 6, 8, of wordform होणाऱ्या, af: ['हो', 'v', 'm', 'pl', '', 'o', 'णाऱ्या', 'tn']
Suffix d not at position 3, 4, of wordform होणे, af: ['n_kr', 'kr', 'हो', 'v', 'n', 'sg', '', 'd']
Suffix o not at position 7, 8, of wordform होण्याचा, af: ['n_kr', 'kr', 'हो', 'v', 'n', 'sg', '', 'o']
Suffix च्या not at position 2, 6, of wordform होण्याजवळ, af: ['हो', 'v', 'n', 'sg', '', 'o', 'च्या_जवळ', 'ण्या_च्या_जवळ']
Suffix 3 not at position 2, 3, of wordform होत, af: ['h', 'ak', 'pas', 'हो', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform होता, af: ['ak', 'p', 'pas', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होता, af: ['ak', 'p', 'pas', 'हो', 'v', 'm', 'sg', '3']
Suffix sg not at position 2, 4, of wordform होता, af: ['p', 'ak', 'c', 'pas', 'हो', 'v', 'm', 'sg']
Suffix sg not at position 2, 4, of wordform होता, af: ['p', 'c', 'ak', 'pas', 'हो', 'v', 'm', 'sg']
Suffix 3 not at position 3, 4, of wordform होता, af: ['p', 'pas', 'c', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होता, af: ['ak', 'p', 'pas', 'हो', 'v', 'm', 'sg', '3']
Suffix ते not at position 2, 4, of wordform होता, af: ['ak', 'हो', 'v', 'n', 'sg', '3', '', 'ते']
Suffix ते not at position 2, 4, of wordform होता, af: ['हो', 'v', 'm', 'pl', '3', '', 'ते', 'ते']
Suffix 3 not at position 4, 5, of wordform होतात, af: ['h', 'ak', 'pre', 'हो', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform होतात, af: ['h', 'ak', 'pre', 'हो', 'v', 'n', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform होतात, af: ['h', 'pre', 'ak', 'हो', 'v', 'm', 'pl', '3']
Suffix 3 not at position 4, 5, of wordform होतात, af: ['pre', 'ak', 'h', 'हो', 'v', 'f', 'pl', '3']
Suffix sg not at position 2, 4, of wordform होती, af: ['p', 'c', 'ak', 'pas', 'हो', 'v', 'f', 'sg']
Suffix 3 not at position 3, 4, of wordform होती, af: ['p', 'pas', 'c', 'हो', 'v', 'f', 'sg', '3']
Suffix ते not at position 2, 4, of wordform होती, af: ['हो', 'v', 'f', 'sg', '3', '', 'ते', 'ते']
Suffix 3 not at position 3, 4, of wordform होती, af: ['ak', 'p', 'pas', 'हो', 'v', 'f', 'sg', '3']
Suffix sg not at position 2, 4, of wordform होती, af: ['p', 'ak', 'c', 'pas', 'हो', 'v', 'f', 'sg']
Suffix 3 not at position 3, 4, of wordform होती, af: ['p', 'pas', 'c', 'हो', 'v', 'f', 'sg', '3']
Suffix ते not at position 2, 4, of wordform होती, af: ['हो', 'v', 'f', 'sg', '3', '', 'ते', 'ते']
Suffix 3 not at position 3, 4, of wordform होते, af: ['ak', 'p', 'pas', 'हो', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['ak', 'p', 'pas', 'हो', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'ak', 'pre', 'हो', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'pre', 'ak', 'हो', 'v', 'n', 'sg', '3']
Suffix sg not at position 2, 4, of wordform होते, af: ['p', 'c', 'ak', 'pas', 'हो', 'v', 'n', 'sg']
Suffix 3 not at position 3, 4, of wordform होते, af: ['p', 'pas', 'c', 'हो', 'v', 'm', 'pl', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['pre', 'ak', 'h', 'हो', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['pre', 'ak', 'h', 'हो', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'ak', 'pre', 'हो', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'ak', 'pre', 'हो', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'ak', 'pre', 'हो', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'ak', 'pre', 'हो', 'v', 'n', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'pre', 'ak', 'हो', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होते, af: ['h', 'pre', 'ak', 'हो', 'v', 'n', 'sg', '3']
Suffix sg not at position 2, 4, of wordform होते, af: ['p', 'ak', 'c', 'pas', 'हो', 'v', 'n', 'sg']
Suffix sg not at position 2, 4, of wordform होते, af: ['p', 'c', 'ak', 'pas', 'हो', 'v', 'f', 'sg']
Suffix sg not at position 2, 4, of wordform होते, af: ['p', 'c', 'ak', 'pas', 'हो', 'v', 'n', 'sg']
Suffix 3 not at position 3, 4, of wordform होते, af: ['pre', 'ak', 'h', 'हो', 'v', 'f', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होतो, af: ['h', 'ak', 'pre', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होतो, af: ['h', 'ak', 'pre', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होतो, af: ['h', 'pre', 'ak', 'हो', 'v', 'm', 'sg', '3']
Suffix 3 not at position 3, 4, of wordform होतो, af: ['h', 'pre', 'ak', 'हो', 'v', 'm', 'sg', '3']
Suffix sg not at position 2, 4, of wordform होतो, af: ['h', 'pre', 'ak', 'होतो', 'हो', 'v', 'm', 'sg']
Suffix 3 not at position 3, 4, of wordform होतो, af: ['pre', 'ak', 'h', 'हो', 'v', 'm', 'sg', '3']
Suffix ते not at position 2, 4, of wordform होतो, af: ['हो', 'v', 'n', 'sg', '3', '', 'ते', 'ते']
Suffix 3 not at position 5, 6, of wordform होत्या, af: ['ak', 'p', 'pas', 'हो', 'v', 'f', 'pl', '3']
Suffix pl not at position 4, 6, of wordform होत्या, af: ['p', 'ak', 'c', 'pas', 'हो', 'v', 'f', 'pl']
Suffix o not at position 2, 3, of wordform होय, af: ['ak', 'pre', 'हो', 'v', '', '', '3', 'o']
Suffix ं not at position 3, 4, of wordform ह्या, af: ['हे', 'pn', 'n', 'pl', '', 'o', 'ं', '्या_ं']
Suffix ्यां not at position 0, 4, of wordform ह्याच, af: ['ही', 'pn', 'f', 'pl', '', 'o', 'च', '्यां_च']
Suffix ्या not at position 6, 9, of wordform ह्याशिवाय, af: ['हे', 'pn', 'n', 'sg', '', 'o', '्या', '्या']
Suffix लेले not at position -1, 3, of wordform <fs, af: ['अस', 'v', 'n', 'sg', '', 'd', 'लेले', 'लेले']
